CIDADE ,DIA DE ATENDIMENTO,QUAL VEÍCULO,TEMPO MÉDIO PARADO,ROTA,Tipo
DEPÓSITO,,CAMINHÃO 9,0,,Depósito
BARBACENA,QUARTA - SEXTA,CAMINHÃO 9,35,ROTA FIXA 07,Cidade 4
CONSELHEIRO LAFAIETE,QUARTA - SEXTA,CAMINHÃO 9,70,ROTA FIXA 07,Cidade 17
OURO BRANCO,QUARTA - SEXTA,CAMINHÃO 9,15,ROTA FIXA 07,Cidade 45
CONGONHAS,QUARTA - SEXTA,CAMINHÃO 9,10,ROTA FIXA 07,Cidade 16
DEPÓSITO,,CAMINHÃO 9,0,,Depósito
DEPÓSITO,,CAMINHÃO 10,0,,Depósito
CURVELO,QUARTA - SEXTA,CAMINHÃO 10,25,ROTA FIXA 13,Cidade 20
SETE LAGOAS,QUARTA - SEXTA,CAMINHÃO 10,75,ROTA FIXA 13,Cidade 64
PRUDENTE DE MORAIS,QUARTA - SEXTA,CAMINHÃO 10,10,ROTA FIXA 13,Cidade 54
MATOZINHOS,QUARTA - SEXTA,CAMINHÃO 10,5,ROTA FIXA 13,Cidade 39
PEDRO LEOPOLDO,QUARTA - SEXTA,CAMINHÃO 10,30,ROTA FIXA 13,Cidade 48
CONFINS,QUARTA - SEXTA,CAMINHÃO 10,5,ROTA FIXA 13,Cidade 15
VESPASIANO,QUARTA - SEXTA,CAMINHÃO 10,15,ROTA FIXA 13,Cidade 72
LAGOA SANTA,QUARTA - SEXTA,CAMINHÃO 10,10,ROTA FIXA 13,Cidadek
DEPÓSITO,,CAMINHÃO 10,0,,Depósito
DEPÓSITO,,CAMINHÃO 1,0,,Depósito
SANTOS DUMONT,TERÇA - QUINTA (ida),CAMINHÃO 1,15,ROTA FIXA 05  (PERNOITE),Cidade 60
JUIZ DE FORA,TERÇA - QUINTA (ida),CAMINHÃO 1,115,ROTA FIXA 05  (PERNOITE),Cidade 30
LEOPOLDINA,TERÇA - QUINTA (ida),CAMINHÃO 1,30,ROTA FIXA 05  (PERNOITE),Cidade 34
CATAGUASES,QUARTA - SEXTA (volta),CAMINHÃO 1,35,ROTA FIXA 05  (PERNOITE),Cidade 14
UBA,QUARTA - SEXTA (volta),CAMINHÃO 1,45,ROTA FIXA 05  (PERNOITE),Cidade 69
VISCONDE DO RIO BRANCO,QUARTA - SEXTA (volta),CAMINHÃO 1,10,ROTA FIXA 05  (PERNOITE),Cidade 74
SAO GERALDO,QUARTA - SEXTA (volta),CAMINHÃO 1,10,ROTA FIXA 05  (PERNOITE),Cidade 61
DEPÓSITO,,CAMINHÃO 1,0,,Depósito
DEPÓSITO,,CAMINHÃO 2,0,,Depósito
PARA DE MINAS,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,85,ROTA FIXA 12 (PERNOITE),Cidade 47
PITANGUI,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,71,ROTA FIXA 12 (PERNOITE),Cidade 50
NOVA SERRANA,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,45,ROTA FIXA 12 (PERNOITE),Cidade 43
BOM DESPACHO,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,30,ROTA FIXA 12 (PERNOITE),Cidade 8
LAGOA DA PRATA,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,30,ROTA FIXA 12 (PERNOITE),Cidade 31
SANTO ANTONIO DO MONTE,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,45,ROTA FIXA 12 (PERNOITE),Cidade 59
ARCOS,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,15,ROTA FIXA 12 (PERNOITE),Cidade 3
