Cidades,Latitude,Longitude,Demanda 1,Demanda 2,Demanda 3,Demanda 4,Demanda 5,Demanda 6,Demanda 7
DEPÓSITO,-19.83176041393988,-44.08277811534257,0,0,0,0,0,0,0
ABRE CAMPO,-20.301628,-42.481072,0,5,3,0,0,24,0
ALFENAS,-21.414451,-45.947245,3,14,2,6,4,13,2
ARCOS,-20.289940,-45.532763,1,4,2,2,3,1,2
BARBACENA,-21.220864,-43.770892,5,17,8,15,2,10,5
BOA ESPERANCA,-21.094244,-45.559786,1,3,3,1,2,1,1
BOCAIUVA,-17.116635,-43.810984,20,1,0,1,2,1,12
BOM DESPACHO,-19.744152,-45.278290,7,7,2,6,12,11,3
CAMPO BELO,-20.890602,-45.279292,1,2,6,7,16,5,0
CARATINGA,-19.784807,-42.146049,1,4,1,3,0,2,9
CARMOPOLIS DE MINAS,-20.537640,-44.633363,5,3,3,0,2,4,1
CATAGUASES,-21.380665,-42.697721,4,13,2,5,4,4,0
CONGONHAS,-20.500174,-43.856644,1,20,0,0,4,3,41
CONSELHEIRO LAFAIETE,-20.656509,-43.795272,6,10,39,79,10,10,12
CORINTO,-18.370385,-44.457555,0,0,0,0,0,0,0
CORONEL FABRICIANO,-19.508290,-42.632194,0,4,0,6,6,8,7
CURVELO,-18.762314,-44.435624,3,9,19,15,3,9,3
DIVINOPOLIS,-20.139403,-44.902766,14,19,4,4,14,12,9
GOVERNADOR VALADARES,-18.864137,-41.956363,7,5,4,16,13,18,5
INHAPIM,-19.548748,-42.121566,0,0,0,0,0,1,0
IPATINGA,-19.465223,-42.561654,8,11,9,17,6,3,14
ITABIRA,-19.641535,-43.226023,0,1,0,5,0,0,1
ITAUNA,-20.082297,-44.584163,2,7,13,7,3,4,0
JOAO MONLEVADE,-19.815919,-43.177918,6,8,7,16,2,9,5
JUIZ DE FORA,-21.757239,-43.355926,7,21,7,7,15,23,16
LAGOA DA PRATA,-20.020659,-45.526865,4,9,14,3,3,9,0
LAVRAS,-21.238650,-45.004877,14,44,15,12,38,24,0
LEOPOLDINA,-21.526206,-42.646138,0,4,0,4,2,3,0
LUZ,-19.791538,-45.686000,0,4,2,2,4,14,0
MACHADO,-21.678517,-45.921966,8,1,1,1,1,1,1
MANHUACU,-20.255943,-42.036065,2,3,4,0,7,2,2
MARIANA,-20.375056,-43.418517,0,2,0,0,0,3,0
MATIPO,-20.285016,-42.346158,0,0,1,1,0,2,0
MONTES CLAROS,-16.731606,-43.857647,16,28,17,28,8,18,8
MURIAE,-21.143023,-42.370869,3,26,2,5,2,13,6
NOVA SERRANA,-19.875904,-44.993207,1,2,5,2,5,3,8
OLIVEIRA,-20.704267,-44.828225,2,3,1,2,0,1,0
OURO BRANCO,-20.514348,-43.705671,0,7,0,13,1,6,0
OURO PRETO,-20.387093,-43.502440,0,0,0,0,0,2,0
PARA DE MINAS,-19.868746,-44.595105,6,11,3,2,4,12,12
PEDRO LEOPOLDO,-19.603678,-44.030995,5,4,4,4,0,7,0
PIRAPORA,-17.335086,-44.924131,6,1,5,2,27,3,2
PITANGUI,-19.680131,-44.891058,0,2,7,0,2,3,1
PIUMHI,-20.470692269595915,-45.95858929418302,6,18,5,10,21,8,8
PONTE NOVA,-20.414808,-42.889429,5,9,14,15,31,10,3
POUSO ALEGRE,-22.226254,-45.935178,12,23,8,8,28,16,9
RAUL SOARES,-20.106288,-42.458185,0,1,0,2,1,1,0
RIO CASCA,-20.224832,-42.654436,0,0,0,0,0,2,0
SANTA LUZIA,-19.765466,-43.866235,0,1,0,0,0,1,0
SANTO ANTONIO DO MONTE,-20.090039,-45.285895,7,0,8,5,0,2,0
SANTOS DUMONT,-21.457799,-43.551327,0,0,0,0,6,1,18
SAO GERALDO,-20.920204,-42.831584,0,0,0,0,0,0,0
SAO GONCALO DO SAPUCAI,-21.890476,-45.593728,0,0,0,0,0,2,0
SAO JOSE DO GOIABAL,-19.924413,-42.710848,0,0,0,0,0,0,0
SETE LAGOAS,-19.446379,-44.246969,4,7,1,0,4,3,1
TEOFILO OTONI,-17.857623,-41.505929,7,34,5,11,4,34,2
TRES CORACOES,-21.685322,-45.253325,5,4,4,5,2,7,1
TRES PONTAS,-21.372950,-45.514670,4,5,8,1,3,1,1
UBA,-21.113764,-42.940615,21,33,3,20,10,4,3
VARGINHA,-21.563785,-45.436898,10,17,15,22,9,20,27
VARZEA DA PALMA,-17.595518,-44.734012,0,2,2,4,0,6,6
VESPASIANO,-19.752473,-43.938543,1,0,4,1,0,0,27
VICOSA,-20.761900,-42.882204,1,10,3,0,0,15,1
VISCONDE DO RIO BRANCO,-21.009174,-42.833891,0,4,1,3,0,1,0
PRUDENTE DE MORAIS,-19.47456098376785,-44.16000500160618,0,0,0,0,0,0,0
MATOZINHOS,-19.565024843320305,-44.079862882924765,0,0,0,0,0,0,0
CONFINS,-19.62909581641355,-43.98983281730939,1,0,0,0,0,0,0
LAGOA SANTA,-19.646889081960744,-43.90671742413578,0,0,0,0,0,0,0
BELA VISTA DE MINAS,-19.827809759589766,-43.096654298731686,0,0,0,0,0,0,0
TIMOTEO,-19.54509047412781,-42.640778184641924,1,0,0,0,0,0,0
ERVALIA,-20.840382288381235,-42.65683342242601,0,0,0,0,0,0,0
MIRADOURO,-20.890721898870872,-42.33979571488018,0,0,0,0,0,0,0
FERVEDOURO,-20.72727831597005,-42.280876132153,0,0,0,0,0,0,0
