UNIDADE,UF,CIDADE ,DIA DE ATENDIMENTO,ROTA,QUAL VEÍCULO,TEMPO MÉDIO PARADO,
MG38,MG,DEPÓSITO,,,CAMINHÃO 9,0,
MG38,MG,BARBACENA,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,35,Cidade 4
MG38,MG,CONSELHEIRO LAFAIETE,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,70,Cidade 17
MG38,MG,OURO BRANCO,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,15,Cidade 45
MG38,MG,CONGONHAS,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,10,Cidade 16
MG38,MG,DEPÓSITO,,,CAMINHÃO 9,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 10,0,0
MG38,MG,CURVELO,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,25,Cidade 20
MG38,MG,SETE LAGOAS,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,75,Cidade 64
MG38,MG,PRUDENTE DE MORAIS,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,10,Cidade 54
MG38,MG,MATOZINHOS,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,5,Cidade 39
MG38,MG,PEDRO LEOPOLDO,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,30,Cidade 48
MG38,MG,CONFINS,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,5,Cidade 15
MG38,MG,VESPASIANO,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,15,Cidade 72
MG38,MG,LAGOA SANTA,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,10,Cidade 32
MG38,MG,SANTA LUZIA,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,10,Cidade 58
MG38,MG,DEPÓSITO,,,CAMINHÃO 10,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 1,0,0
MG38,MG,SANTOS DUMONT,TERÇA - QUINTA (ida),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,15,Cidade 60
MG38,MG,JUIZ DE FORA,TERÇA - QUINTA (ida),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,115,Cidade 30
MG38,MG,LEOPOLDINA,TERÇA - QUINTA (ida),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,30,Cidade 34
MG38,MG,CATAGUASES,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,35,Cidade 14
MG38,MG,UBA,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,45,Cidade 69
MG38,MG,VISCONDE DO RIO BRANCO,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,10,Cidade 74
MG38,MG,SAO GERALDO,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,10,Cidade 61
MG38,MG,DEPÓSITO,,,CAMINHÃO 1,0,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 2,0,0
MG38,MG,PARA DE MINAS,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,85,Cidade 47
MG38,MG,PITANGUI,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,71,Cidade 50
MG38,MG,NOVA SERRANA,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,45,Cidade 43
MG38,MG,BOM DESPACHO,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,30,Cidade 8
MG38,MG,LAGOA DA PRATA,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,30,Cidade 31
