CIDADE ,DIA DE ATENDIMENTO,QUAL VEÍCULO,TEMPO MÉDIO PARADO,ROTA,Tipo,Demanda 1,Demanda 2,Demanda 3,Demanda 4,Demanda 5
DEPÓSITO,,CAMINHÃO 9,0,,Depósito,Sim,Sim,Sim,Sim,Sim
BARBACENA,QUARTA - SEXTA,CAMINHÃO 9,35,ROTA FIXA 07,Cidade 4,Sim,Sim,Sim,Sim,Sim
CONSELHEIRO LAFAIETE,QUARTA - SEXTA,CAMINHÃO 9,70,ROTA FIXA 07,Cidade 17,Sim,Sim,Sim,Sim,Sim
OURO BRANCO,QUARTA - SEXTA,CAMINHÃO 9,15,ROTA FIXA 07,Cidade 45,Sim,Sim,Sim,Sim,Sim
CONGONHAS,QUARTA - SEXTA,CAMINHÃO 9,10,ROTA FIXA 07,Cidade 16,Não,Sim,Não,Sim,Sim
DEPÓSITO,,CAMINHÃO 9,0,,Depósito,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 10,0,,Depósito,Sim,Sim,Sim,Sim,Sim
CURVELO,QUARTA - SEXTA,CAMINHÃO 10,25,ROTA FIXA 13,Cidade 20,Sim,Sim,Sim,Sim,Sim
SETE LAGOAS,QUARTA - SEXTA,CAMINHÃO 10,75,ROTA FIXA 13,Cidade 64,Sim,Sim,Sim,Sim,Sim
PRUDENTE DE MORAIS,QUARTA - SEXTA,CAMINHÃO 10,10,ROTA FIXA 13,Cidade 54,Não,Não,Não,Não,Não
MATOZINHOS,QUARTA - SEXTA,CAMINHÃO 10,5,ROTA FIXA 13,Cidade 39,Não,Não,Não,Não,Não
PEDRO LEOPOLDO,QUARTA - SEXTA,CAMINHÃO 10,30,ROTA FIXA 13,Cidade 48,Sim,Sim,Sim,Sim,Sim
CONFINS,QUARTA - SEXTA,CAMINHÃO 10,5,ROTA FIXA 13,Cidade 15,Não,Não,Não,Não,Não
VESPASIANO,QUARTA - SEXTA,CAMINHÃO 10,15,ROTA FIXA 13,Cidade 72,Sim,Sim,Sim,Sim,Sim
LAGOA SANTA,QUARTA - SEXTA,CAMINHÃO 10,10,ROTA FIXA 13,Cidade 32,Não,Não,Não,Não,Não
SANTA LUZIA,QUARTA - SEXTA,CAMINHÃO 10,10,ROTA FIXA 13,Cidade 58,Não,Não,Não,Não,Não
DEPÓSITO,,CAMINHÃO 10,0,,Depósito,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 1,0,,Depósito,Sim,Sim,Sim,Sim,Sim
SANTOS DUMONT,TERÇA - QUINTA (ida),CAMINHÃO 1,15,ROTA FIXA 05  (PERNOITE),Cidade 60,Sim,Sim,Sim,Sim,Sim
JUIZ DE FORA,TERÇA - QUINTA (ida),CAMINHÃO 1,115,ROTA FIXA 05  (PERNOITE),Cidade 30,Sim,Sim,Sim,Sim,Sim
LEOPOLDINA,TERÇA - QUINTA (ida),CAMINHÃO 1,30,ROTA FIXA 05  (PERNOITE),Cidade 34,Sim,Sim,Sim,Sim,Sim
CATAGUASES,QUARTA - SEXTA (volta),CAMINHÃO 1,35,ROTA FIXA 05  (PERNOITE),Cidade 14,Sim,Sim,Sim,Sim,Sim
UBA,QUARTA - SEXTA (volta),CAMINHÃO 1,45,ROTA FIXA 05  (PERNOITE),Cidade 69,Sim,Sim,Sim,Sim,Sim
VISCONDE DO RIO BRANCO,QUARTA - SEXTA (volta),CAMINHÃO 1,10,ROTA FIXA 05  (PERNOITE),Cidade 74,Sim,Sim,Sim,Sim,Sim
SAO GERALDO,QUARTA - SEXTA (volta),CAMINHÃO 1,10,ROTA FIXA 05  (PERNOITE),Cidade 61,Não,Não,Não,Não,Não
DEPÓSITO,,CAMINHÃO 1,0,,Depósito,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 2,0,,Depósito,Sim,Sim,Sim,Sim,Sim
PARA DE MINAS,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,85,ROTA FIXA 12 (PERNOITE),Cidade 47,Sim,Sim,Sim,Sim,Sim
PITANGUI,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,71,ROTA FIXA 12 (PERNOITE),Cidade 50,Sim,Sim,Sim,Sim,Sim
NOVA SERRANA,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,45,ROTA FIXA 12 (PERNOITE),Cidade 43,Sim,Sim,Sim,Sim,Sim
BOM DESPACHO,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,30,ROTA FIXA 12 (PERNOITE),Cidade 8,Sim,Sim,Sim,Sim,Sim
LAGOA DA PRATA,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,30,ROTA FIXA 12 (PERNOITE),Cidade 31,Sim,Sim,Sim,Sim,Sim
SANTO ANTONIO DO MONTE,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,45,ROTA FIXA 12 (PERNOITE),Cidade 59,Sim,Sim,Sim,Sim,Sim
ARCOS,SEGUNDA - QUINTA (IDA),CAMINHÃO 2,15,ROTA FIXA 12 (PERNOITE),Cidade 3,Sim,Sim,Sim,Sim,Sim
PIUMHI,TERÇA - SEXTA (VOLTA),CAMINHÃO 2,75,ROTA FIXA 12 (PERNOITE),Cidade 51,Sim,Não,Sim,Sim,Não
ITAUNA,TERÇA - SEXTA (VOLTA),CAMINHÃO 2,50,ROTA FIXA 12 (PERNOITE),Cidade 28,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 2,0,,Depósito,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 3,0,,Depósito,Sim,Sim,Sim,Sim,Sim
JOAO MONLEVADE,TERÇA - QUINTA (IDA),CAMINHÃO 3,70,ROTA FIXA 03  (PERNOITE),Cidade 29,Sim,Sim,Sim,Sim,Sim
BELA VISTA DE MINAS,TERÇA - QUINTA (IDA),CAMINHÃO 3,5,ROTA FIXA 03  (PERNOITE),Cidade 5,Não,Não,Não,Não,Não
TIMOTEO,TERÇA - QUINTA (IDA),CAMINHÃO 3,5,ROTA FIXA 03  (PERNOITE),Cidade 66,Não,Sim,Não,Sim,Sim
CORONEL FABRICIANO,TERÇA - QUINTA (IDA),CAMINHÃO 3,15,ROTA FIXA 03  (PERNOITE),Cidade 19,Sim,Sim,Sim,Sim,Sim
IPATINGA,TERÇA - QUINTA (IDA),CAMINHÃO 3,50,ROTA FIXA 03  (PERNOITE),Cidade 26,Sim,Sim,Sim,Sim,Sim
INHAPIM,TERÇA - QUINTA (IDA),CAMINHÃO 3,10,ROTA FIXA 03  (PERNOITE),Cidade 25,Não,Sim,Sim,Sim,Não
CARATINGA,TERÇA - QUINTA (IDA),CAMINHÃO 3,50,ROTA FIXA 03  (PERNOITE),Cidade 12,Sim,Sim,Sim,Sim,Sim
RAUL SOARES,QUARTA - SEXTA (VOLTA),CAMINHÃO 3,5,ROTA FIXA 03  (PERNOITE),Cidade 55,Sim,Sim,Sim,Sim,Sim
RIO CASCA,QUARTA - SEXTA (VOLTA),CAMINHÃO 3,10,ROTA FIXA 03  (PERNOITE),Cidade 57,Não,Sim,Sim,Sim,Sim
SAO JOSE DO GOIABAL,QUARTA - SEXTA (VOLTA),CAMINHÃO 3,5,ROTA FIXA 03  (PERNOITE),Cidade 63,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 3,0,,Depósito,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 4,0,,Depósito,Sim,Sim,Sim,Sim,Sim
ITABIRA,TERÇA - QUINTA (IDA),CAMINHÃO 4,25,ROTA FIXA 02  (PERNOITE),Cidade 27,Sim,Não,Sim,Não,Sim
TEOFILO OTONI,TERÇA - QUINTA (IDA),CAMINHÃO 4,75,ROTA FIXA 02  (PERNOITE),Cidade 65,Sim,Sim,Sim,Sim,Sim
GOVERNADOR VALADARES,QUARTA - SEXTA (VOLTA),CAMINHÃO 4,80,ROTA FIXA 02  (PERNOITE),Cidade 24,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 4,0,,Depósito,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 5,0,,Depósito,Sim,Sim,Sim,Sim,Sim
OURO PRETO,TERÇA - QUINTA (IDA),CAMINHÃO 5,15,ROTA FIXA 04 (PERNOITE),Cidade 46,Não,Sim,Sim,Sim,Sim
MARIANA,TERÇA - QUINTA (IDA),CAMINHÃO 5,15,ROTA FIXA 04 (PERNOITE),Cidade 37,Não,Não,Sim,Não,Sim
PONTE NOVA,TERÇA - QUINTA (IDA),CAMINHÃO 5,25,ROTA FIXA 04 (PERNOITE),Cidade 52,Sim,Sim,Sim,Sim,Sim
ERVALIA,TERÇA - QUINTA (IDA),CAMINHÃO 5,5,ROTA FIXA 04 (PERNOITE),Cidade 22,Não,Não,Não,Não,Não
VICOSA,TERÇA - QUINTA (IDA),CAMINHÃO 5,35,ROTA FIXA 04 (PERNOITE),Cidade 73,Sim,Sim,Não,Sim,Sim
MURIAE,TERÇA - QUINTA (IDA),CAMINHÃO 5,95,ROTA FIXA 04 (PERNOITE),Cidade 42,Sim,Sim,Sim,Sim,Sim
MIRADOURO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,10,ROTA FIXA 04 (PERNOITE),Cidade 40,Não,Não,Não,Não,Não
FERVEDOURO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,10,ROTA FIXA 04 (PERNOITE),Cidade 23,Não,Não,Não,Não,Não
MANHUACU,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,76,ROTA FIXA 04 (PERNOITE),Cidade 36,Sim,Sim,Sim,Sim,Sim
MATIPO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,5,ROTA FIXA 04 (PERNOITE),Cidade 38,Sim,Não,Sim,Não,Sim
ABRE CAMPO,QUARTA - SEXTA (VOLTA),CAMINHÃO 5,15,ROTA FIXA 04 (PERNOITE),Cidade 1,Sim,Sim,Não,Sim,Sim
DEPÓSITO,,CAMINHÃO 5,0,,Depósito,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 6,0,,0,Sim,Sim,Sim,Sim,Sim
CORINTO,SEGUNDA - QUARTA (ida),CAMINHÃO 6,15,ROTA FIXA 01 (PERNOITE),Cidade 18,Não,Não,Não,Sim,Não
VARZEA DA PALMA,SEGUNDA - QUARTA (ida),CAMINHÃO 6,15,ROTA FIXA 01 (PERNOITE),Cidade 71,Sim,Sim,Sim,Sim,Sim
PIRAPORA,SEGUNDA - QUARTA (ida),CAMINHÃO 6,45,ROTA FIXA 01 (PERNOITE),Cidade 49,Sim,Sim,Sim,Sim,Sim
BURITIZEIRO,SEGUNDA - QUARTA (ida),CAMINHÃO 6,5,ROTA FIXA 01 (PERNOITE),Cidade 10,Não,Não,Não,Não,Não
MONTES CLAROS,SEGUNDA - QUARTA (ida),CAMINHÃO 6,75,ROTA FIXA 01 (PERNOITE),Cidade 41,Sim,Sim,Sim,Sim,Sim
BOCAIUVA,TERÇA - QUINTA (volta),CAMINHÃO 6,5,ROTA FIXA 01 (PERNOITE),Cidade 7,Sim,Sim,Sim,Sim,Sim
BUENOPOLIS,TERÇA - QUINTA (volta),CAMINHÃO 6,5,ROTA FIXA 01 (PERNOITE),Cidade 9,Não,Não,Não,Não,Não
DEPÓSITO,,CAMINHÃO 6,0,,0,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 7,0,,0,Sim,Sim,Sim,Sim,Sim
DIVINOPOLIS,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,60,ROTA FIXA 10 (PERNOITE),Cidade 21,Sim,Sim,Sim,Sim,Sim
CAMPO BELO,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,30,ROTA FIXA 10 (PERNOITE),Cidade 11,Sim,Sim,Sim,Sim,Sim
BOA ESPERANCA,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,10,ROTA FIXA 10 (PERNOITE),Cidade 6,Sim,Sim,Sim,Sim,Sim
ALFENAS,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,30,ROTA FIXA 10 (PERNOITE),Cidade 2,Sim,Sim,Sim,Sim,Sim
MACHADO,SEGUNDA - QUARTA (IDA),CAMINHÃO 7,15,ROTA FIXA 10 (PERNOITE),Cidade 35,Sim,Sim,Sim,Sim,Sim
VARGINHA,TERÇA - QUINTA (VOLTA),CAMINHÃO 7,50,ROTA FIXA 10 (PERNOITE),Cidade 70,Sim,Sim,Sim,Sim,Sim
TRES PONTAS,TERÇA - QUINTA (VOLTA),CAMINHÃO 7,15,ROTA FIXA 10 (PERNOITE),Cidade 68,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 7,0,,0,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 8,0,,0,Sim,Sim,Sim,Sim,Sim
OLIVEIRA,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,15,ROTA FIXA 09 (PERNOITE),Cidade 44,Sim,Sim,Sim,Sim,Sim
TRES CORACOES,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,25,ROTA FIXA 09 (PERNOITE),Cidade 67,Sim,Sim,Sim,Sim,Sim
SAO GONCALO DO SAPUCAI,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 62,Sim,Sim,Sim,Sim,Sim
POUSO ALEGRE,SEGUNDA - QUINTA (IDA),CAMINHÃO 8,75,ROTA FIXA 09 (PERNOITE),Cidade 53,Sim,Sim,Sim,Sim,Sim
LAVRAS,TERÇA - SEXTA (VOLTA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 33,Sim,Sim,Sim,Sim,Sim
RIBEIRAO VERMELHO,TERÇA - SEXTA (VOLTA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 56,Não,Não,Não,Não,Não
CARMOPOLIS DE MINAS,TERÇA - SEXTA (VOLTA),CAMINHÃO 8,5,ROTA FIXA 09 (PERNOITE),Cidade 13,Sim,Sim,Sim,Sim,Sim
DEPÓSITO,,CAMINHÃO 8,0,,0,Sim,Sim,Sim,Sim,Sim
