UNIDADE,UF,CIDADE ,DIA DE ATENDIMENTO,ROTA,QUAL VEÍCULO,TEMPO MÉDIO PARADO
MG38,MG,DEPÓSITO,,,CAMINHÃO 9,0
MG38,MG,BARBACENA,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,35
MG38,MG,CONSELHEIRO LAFAIETE,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,70
MG38,MG,OURO BRANCO,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,15
MG38,MG,CONGONHAS,QUARTA - SEXTA,ROTA FIXA 07 - SUL,CAMINHÃO 9,15
MG38,MG,DEPÓSITO,,,CAMINHÃO 9,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 10,0
MG38,MG,CURVELO,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,25
MG38,MG,SETE LAGOAS,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,75
MG38,MG,PEDRO LEOPOLDO,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,30
MG38,MG,CONFINS,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,5
MG38,MG,VESPASIANO,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,15
MG38,MG,LAGOA SANTA,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,10
MG38,MG,SANTA LUZIA,QUARTA - SEXTA,ROTA FIXA 13 - NOROESTE,CAMINHÃO 10,10
MG38,MG,DEPÓSITO,,,CAMINHÃO 10,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 1,0
MG38,MG,SANTOS DUMONT,TERÇA - QUINTA (ida),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,15
MG38,MG,JUIZ DE FORA,TERÇA - QUINTA (ida),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,115
MG38,MG,LEOPOLDINA,TERÇA - QUINTA (ida),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,30
MG38,MG,CATAGUASES,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,35
MG38,MG,UBA,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,45
MG38,MG,VISCONDE DO RIO BRANCO,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,10
MG38,MG,SAO GERALDO,QUARTA - SEXTA (volta),ROTA FIXA 05  (PERNOITE) - SUDESTE,CAMINHÃO 1,10
MG38,MG,DEPÓSITO,,,CAMINHÃO 1,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 2,0
MG38,MG,PARA DE MINAS,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,85
MG38,MG,PITANGUI,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,71
MG38,MG,NOVA SERRANA,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,45
MG38,MG,BOM DESPACHO,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,30
MG38,MG,LUZ,SEGUNDA,ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,15
MG38,MG,LAGOA DA PRATA,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,30
MG38,MG,SANTO ANTONIO DO MONTE,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,45
MG38,MG,ARCOS,SEGUNDA - QUINTA (IDA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,15
MG38,MG,PIUMHI,TERÇA - SEXTA (VOLTA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,75
MG38,MG,ITAUNA,TERÇA - SEXTA (VOLTA),ROTA FIXA 12 (PERNOITE) - OESTE,CAMINHÃO 2,50
MG38,MG,DEPÓSITO,,,CAMINHÃO 2,0
MG38,MG,DEPÓSITO,,,CAMINHÃO 3,0
MG38,MG,JOAO MONLEVADE,TERÇA - QUINTA (IDA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,70
MG38,MG,BELA VISTA DE MINAS,TERÇA - QUINTA (IDA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,5
MG38,MG,TIMOTEO,TERÇA - QUINTA (IDA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,5
MG38,MG,CORONEL FABRICIANO,TERÇA - QUINTA (IDA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,15
MG38,MG,IPATINGA,TERÇA - QUINTA (IDA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,50
MG38,MG,INHAPIM,TERÇA - QUINTA (IDA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,10
MG38,MG,CARATINGA,TERÇA - QUINTA (IDA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,50
MG38,MG,RAUL SOARES,QUARTA - SEXTA (VOLTA),ROTA FIXA 03  (PERNOITE) - LESTE,CAMINHÃO 3,5
